latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.059753,-118.2375,91.0,0,GMT,GMT

time,temperature_2m (°C),precipitation (mm),dew_point_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°)
2020-01-01T00:00,18.9,0.00,12.4,66,4.2,110
2020-01-01T01:00,19.9,0.00,6.6,42,4.9,107
2020-01-01T02:00,14.9,0.00,6.8,58,3.4,18
2020-01-01T03:00,11.9,0.00,5.6,65,4.1,15
2020-01-01T04:00,9.9,0.00,4.9,71,4.3,24
2020-01-01T05:00,9.1,0.00,4.2,71,4.7,23
2020-01-01T06:00,8.8,0.00,3.7,71,5.6,27
2020-01-01T07:00,7.7,0.00,3.7,76,4.9,17
2020-01-01T08:00,7.5,0.00,3.1,74,6.0,33
2020-01-01T09:00,7.2,0.00,2.8,73,8.3,2
2020-01-01T10:00,9.5,0.00,1.3,57,6.4,322
2020-01-01T11:00,10.3,0.00,0.6,51,3.6,84
2020-01-01T12:00,7.8,0.00,2.0,66,10.3,78
2020-01-01T13:00,7.9,0.00,2.5,68,11.7,45
2020-01-01T14:00,7.6,0.00,1.5,65,9.0,355
2020-01-01T15:00,7.1,0.00,1.1,66,8.5,62
2020-01-01T16:00,9.7,0.00,2.8,62,9.8,66
2020-01-01T17:00,12.7,0.00,4.3,57,4.4,35
2020-01-01T18:00,15.1,0.00,4.6,49,1.1,108
2020-01-01T19:00,16.5,0.00,4.4,45,5.6,105
2020-01-01T20:00,17.1,0.00,4.7,44,4.1,105
2020-01-01T21:00,17.6,0.00,5.2,44,5.2,115
2020-01-01T22:00,17.7,0.00,5.6,45,1.9,292
2020-01-01T23:00,17.8,0.00,7.2,50,7.8,202
2020-01-02T00:00,17.3,0.00,9.8,61,7.3,213
2020-01-02T01:00,14.1,0.00,10.7,80,8.4,239
2020-01-02T02:00,12.4,0.00,9.8,84,5.1,274
2020-01-02T03:00,13.6,0.00,8.2,70,2.7,337
2020-01-02T04:00,13.4,0.00,7.9,69,4.5,209
2020-01-02T05:00,11.1,0.00,8.4,84,5.2,115
2020-01-02T06:00,9.6,0.00,7.9,89,7.6,85
2020-01-02T07:00,9.2,0.00,7.7,90,7.7,79
2020-01-02T08:00,8.8,0.00,7.7,93,6.9,81
2020-01-02T09:00,8.4,0.00,7.6,94,6.0,57
2020-01-02T10:00,7.9,0.00,7.1,95,5.5,79
2020-01-02T11:00,7.4,0.00,6.6,95,6.1,93
2020-01-02T12:00,8.9,0.00,7.9,94,9.1,81
2020-01-02T13:00,8.7,0.00,8.1,96,8.4,65
2020-01-02T14:00,8.4,0.00,7.5,94,5.4,48
2020-01-02T15:00,7.3,0.00,6.8,97,5.8,83
2020-01-02T16:00,8.2,0.00,7.9,98,14.0,108
2020-01-02T17:00,9.9,0.00,8.6,91,13.7,95
2020-01-02T18:00,12.1,0.00,9.2,82,8.4,59
2020-01-02T19:00,13.9,0.00,10.0,77,7.5,325
2020-01-02T20:00,15.4,0.00,9.6,68,5.4,274
2020-01-02T21:00,16.9,0.00,10.1,65,7.8,202
2020-01-02T22:00,17.1,0.00,11.4,69,10.5,184
2020-01-02T23:00,16.8,0.00,11.4,71,7.8,193
2020-01-03T00:00,17.0,0.00,10.8,67,2.4,333
2020-01-03T01:00,13.9,0.00,10.6,80,7.4,317
2020-01-03T02:00,13.7,0.00,10.3,80,7.7,298
2020-01-03T03:00,15.3,0.00,10.6,74,4.5,299
2020-01-03T04:00,13.2,0.00,9.7,79,4.1,45
2020-01-03T05:00,10.9,0.00,8.2,84,8.0,54
2020-01-03T06:00,10.4,0.00,6.6,78,7.3,33
2020-01-03T07:00,9.9,0.00,5.6,75,9.0,29
2020-01-03T08:00,13.6,0.00,3.8,52,5.7,18
2020-01-03T09:00,14.1,0.00,3.5,49,5.4,42
2020-01-03T10:00,13.9,0.00,3.2,49,6.6,22
2020-01-03T11:00,13.2,0.00,3.2,51,3.6,37
2020-01-03T12:00,13.2,0.00,3.0,50,4.4,305
2020-01-03T13:00,12.9,0.00,3.0,51,5.6,63
2020-01-03T14:00,11.2,0.00,3.2,58,8.1,58
2020-01-03T15:00,12.5,0.00,2.6,51,6.0,33
2020-01-03T16:00,12.9,0.00,2.5,49,4.3,336
2020-01-03T17:00,13.6,0.00,4.9,55,2.4,27
2020-01-03T18:00,16.3,0.00,6.3,52,4.2,31
2020-01-03T19:00,18.5,0.00,6.3,45,4.3,66
2020-01-03T20:00,20.0,0.00,6.6,42,3.8,107
2020-01-03T21:00,20.8,0.00,6.6,40,3.9,158
2020-01-03T22:00,20.9,0.00,7.1,41,5.4,172
2020-01-03T23:00,20.5,0.00,8.0,45,6.2,173
2020-01-04T00:00,19.5,0.00,13.8,69,5.4,180
2020-01-04T01:00,18.1,0.00,9.0,55,6.8,252
2020-01-04T02:00,14.4,0.00,9.3,71,8.0,297
2020-01-04T03:00,13.7,0.00,8.4,70,4.4,351
2020-01-04T04:00,14.0,0.00,7.7,66,1.9,22
2020-01-04T05:00,13.3,0.00,7.3,67,4.1,52
2020-01-04T06:00,12.0,0.00,7.2,72,7.1,75
2020-01-04T07:00,13.0,0.00,7.1,67,6.3,59
2020-01-04T08:00,14.0,0.00,6.7,61,2.7,23
2020-01-04T09:00,13.9,0.00,6.6,61,2.3,51
2020-01-04T10:00,13.8,0.00,6.4,61,2.8,50
2020-01-04T11:00,13.8,0.00,5.7,58,5.6,50
2020-01-04T12:00,11.8,0.00,5.0,63,7.6,71
2020-01-04T13:00,10.0,0.00,4.2,67,9.6,77
2020-01-04T14:00,12.3,0.00,3.2,54,5.9,38
2020-01-04T15:00,12.2,0.00,2.5,52,3.3,49
2020-01-04T16:00,11.0,0.00,5.1,67,5.2,106
2020-01-04T17:00,12.2,0.00,5.3,63,3.4,122
2020-01-04T18:00,13.9,0.00,6.9,63,4.1,105
2020-01-04T19:00,15.7,0.00,7.2,57,2.9,90
2020-01-04T20:00,17.2,0.00,7.2,51,2.2,99
2020-01-04T21:00,18.3,0.00,7.3,49,0.4,180
2020-01-04T22:00,19.0,0.00,7.7,48,2.8,220
2020-01-04T23:00,18.9,0.00,8.4,51,5.2,236
2020-01-05T00:00,16.9,0.00,11.8,72,8.7,246
2020-01-05T01:00,13.3,0.00,10.8,85,7.6,265
2020-01-05T02:00,13.9,0.00,9.6,76,5.0,300
2020-01-05T03:00,13.8,0.00,9.4,75,1.9,68
2020-01-05T04:00,11.1,0.00,8.9,86,7.2,87
2020-01-05T05:00,10.1,0.00,8.2,88,9.0,74
2020-01-05T06:00,9.6,0.00,7.2,85,9.5,61
2020-01-05T07:00,10.9,0.00,6.6,75,7.4,39
2020-01-05T08:00,10.6,0.00,5.6,71,7.6,19
2020-01-05T09:00,10.8,0.00,4.9,67,7.3,11
2020-01-05T10:00,10.1,0.00,4.3,67,5.5,349
2020-01-05T11:00,8.1,0.00,3.8,74,7.3,340
2020-01-05T12:00,10.5,0.00,4.6,67,6.4,308
2020-01-05T13:00,11.4,0.00,4.1,60,5.9,313
2020-01-05T14:00,11.3,0.00,3.8,60,5.2,25
2020-01-05T15:00,9.2,0.00,3.5,68,7.9,3
2020-01-05T16:00,11.9,0.00,3.4,56,3.6,37
2020-01-05T17:00,12.4,0.00,5.4,63,6.1,130
2020-01-05T18:00,13.7,0.00,5.7,58,5.7,125
2020-01-05T19:00,15.4,0.00,5.8,53,6.4,142
2020-01-05T20:00,17.0,0.00,5.8,48,8.0,153
2020-01-05T21:00,18.6,0.00,7.4,48,6.5,161
2020-01-05T22:00,20.0,0.00,7.9,46,3.6,233
2020-01-05T23:00,19.5,0.00,7.8,47,6.5,3
