,date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,daylight_duration,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,sunshine_duration,temperature_2m_mean,wind_gusts_10m_max,et0_fao_evapotranspiration,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,cloud_cover_mean,cloud_cover_max,cloud_cover_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min
0,2020-01-01 00:00:00+00:00,3.0,17.8,7.1,9.946611,35746.973,0.0,11.709688,56.20343,34266.824,12.014583,16.56,1.887732,11.14,63.676205,89.15281,43.70636,1016.39996,1019.4,1012.9,1005.3889,1008.4778,1001.98364,36.666668,93.0,0.0,8.10209,12.723333,3.9104395
1,2020-01-02 00:00:00+00:00,3.0,17.15,7.35,10.291081,35781.66,0.0,14.003029,72.42011,34551.18,11.65625,25.56,1.5605083,11.29,83.71587,98.31609,64.65144,1014.8584,1018.8,1012.8,1003.8509,1007.7007,1001.6919,59.208332,100.0,3.0,9.820898,13.473457,6.8032236
2,2020-01-03 00:00:00+00:00,3.0,20.9,9.85,13.392246,35819.203,0.0,9.021574,38.837032,35287.707,15.129167,12.959999,2.1782303,11.83,55.125927,74.60259,39.834766,1022.75006,1026.2,1019.2,1011.7898,1015.0841,1008.0768,78.958336,100.0,0.0,10.006495,15.739264,6.8926144
3,2020-01-04 00:00:00+00:00,3.0,18.95,9.65,12.26402,35859.53,0.0,9.605998,69.31926,35328.703,13.733333,14.04,1.8871654,11.96,64.95426,87.69437,47.855045,1026.1918,1028.5,1024.8,1015.14185,1017.43085,1013.7497,59.875,100.0,0.0,9.8411,13.565962,6.7010536
4,2020-01-05 00:00:00+00:00,3.0,20.0,7.75,10.830391,35902.57,0.0,9.007196,37.34943,35372.43,12.585418,18.72,1.8914888,11.48,66.61695,87.93735,45.60117,1024.6167,1026.6,1022.4,1013.53925,1015.54553,1011.3908,80.791664,96.0,0.0,8.929669,13.226316,5.6054764
5,2020-01-06 00:00:00+00:00,0.0,21.1,5.9,9.86665,35948.258,0.0,8.089993,41.893856,35418.805,12.043751,14.04,2.10478,12.64,56.73276,74.143524,32.630993,1024.3878,1026.5,1023.3,1013.289,1015.5393,1012.1006,0.083333336,1.0,0.0,7.285351,14.789104,2.883604
6,2020-01-07 00:00:00+00:00,3.0,22.95,5.25,10.515817,35996.527,0.0,8.825508,21.53402,35338.746,12.649999,13.679999,1.9718152,11.32,57.190674,80.8591,26.151619,1019.57495,1023.2,1016.4,1008.5507,1011.94037,1005.463,65.083336,98.0,0.0,7.753174,13.763531,2.3118172
7,2020-01-08 00:00:00+00:00,3.0,17.3,7.05,9.510984,36047.3,0.0,18.584509,111.4937,32427.799,11.360416,32.399998,1.7767646,12.11,77.583046,95.99444,52.944733,1015.8625,1017.2,1014.2,1004.8328,1006.2563,1003.4135,28.916666,93.0,0.0,8.914123,11.971111,5.206732
8,2020-01-09 00:00:00+00:00,3.0,15.9,7.15,9.270416,36100.52,0.0,13.397612,293.24286,35573.12,10.875,25.919998,1.4802328,9.41,78.38951,96.3641,49.528152,1014.72076,1017.5,1011.6,1003.6848,1006.31476,1000.7836,35.333332,98.0,1.0,8.520867,11.298304,5.814969
9,2020-01-10 00:00:00+00:00,3.0,16.85,4.5,8.19755,36156.113,0.0,8.891344,47.95804,35629.39,10.08125,16.199999,1.7401261,12.38,75.0139,99.99999,49.36395,1022.3459,1024.9,1018.2,1011.19525,1013.7926,1006.98535,9.916667,100.0,0.0,7.387312,11.012285,3.3807535
10,2020-01-11 00:00:00+00:00,3.0,15.75,5.75,8.962959,36214.004,0.0,9.793059,89.44376,35687.95,10.71875,20.519999,1.5447333,10.63,78.40107,96.3428,65.436455,1020.7376,1024.0,1017.4,1009.6298,1012.74744,1006.4234,34.791668,100.0,3.0,8.458509,12.144875,3.9389677
11,2020-01-12 00:00:00+00:00,3.0,16.05,7.95,9.307625,36274.125,0.0,11.620809,23.101835,35748.746,10.820832,19.8,1.7070367,12.16,82.61352,96.663795,57.56183,1018.6167,1020.4,1016.7,1007.53644,1009.3489,1005.8405,19.375,100.0,0.0,8.9026575,11.237168,6.5834303
12,2020-01-13 00:00:00+00:00,2.0,16.5,7.05,8.965611,36336.418,0.0,13.608762,51.648487,35805.773,10.647917,26.28,1.7814524,12.65,78.49623,91.55578,49.52112,1019.07916,1020.9,1018.1,1007.9873,1009.8553,1006.90814,21.375,62.0,0.0,8.327776,11.725779,5.633073
13,2020-01-14 00:00:00+00:00,3.0,15.7,7.45,9.598332,36401.137,0.0,8.404285,30.203072,35817.395,11.083332,17.64,1.5207075,10.65,77.30454,94.08656,65.491104,1019.26666,1022.2,1017.5,1008.18964,1011.1412,1006.5167,41.666668,100.0,1.0,8.66927,12.144875,5.414654
