,Model Name,Model Type,Shorthand,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Target Variable,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
0,Feedforward,Neural Network,FFW,0,0.0121,0.1101,-0.0,22.1153,Latitude,0.12577015161514282,-0.00013530254364013672,0.35114333033561707,0.12554685771465302,-9.5367431640625e-07,0.35056406259536743
0,Feedforward,Neural Network,FFW,0,0.0111,0.1053,-0.0002,20.6353,Longitude,0.17158730328083038,-6.16312026977539e-05,0.4113480746746063,0.17166252434253693,-0.00043129920959472656,0.4114626944065094
0,Feedforward,Neural Network,FFW,1,0.0121,0.1101,-0.0004,20.4029,Latitude,0.12557728588581085,-0.0001615285873413086,0.35114774107933044,0.12521633505821228,-0.00011920928955078125,0.35058480501174927
0,Feedforward,Neural Network,FFW,1,0.0111,0.1053,-0.0,20.6423,Longitude,0.17157061398029327,-0.00010657310485839844,0.4113573133945465,0.17164833843708038,-2.384185791015625e-06,0.4113744795322418
0,Feedforward,Neural Network,FFW,2,0.0121,0.1101,-0.0,20.5742,Latitude,0.12549248337745667,-0.0001341104507446289,0.35114288330078125,0.1250642091035843,8.940696716308594e-07,0.35056376457214355
0,Feedforward,Neural Network,FFW,2,0.0111,0.1053,-0.0001,20.6303,Longitude,0.17143000662326813,-8.52346420288086e-05,0.4113532602787018,0.17141179740428925,-6.783008575439453e-05,0.41138795018196106
0,Feedforward,Neural Network,FFW,3,0.0121,0.1102,-0.0011,40.8186,Latitude,0.12560920417308807,-0.00017726421356201172,0.3511504530906677,0.1253126710653305,-0.00023829936981201172,0.35060569643974304
0,Feedforward,Neural Network,FFW,3,0.0111,0.1053,-0.0,40.9971,Longitude,0.17147859930992126,-0.00010144710540771484,0.41135647892951965,0.17151829600334167,-4.673004150390625e-05,0.41138359904289246
0,Feedforward,Neural Network,FFW,4,0.0121,0.1101,-0.0,20.5312,Latitude,0.12543892860412598,-0.00010585784912109375,0.35113784670829773,0.1252966970205307,-0.0005930662155151367,0.3506678342819214
0,Feedforward,Neural Network,FFW,4,0.0111,0.1053,-0.0,20.8546,Longitude,0.17133741080760956,-9.036064147949219e-05,0.411354124546051,0.17131872475147247,-0.00014340877532958984,0.41140347719192505
0,Feedforward,Neural Network,FFW,5,0.0121,0.1101,-0.0,20.7935,Latitude,0.12555594742298126,-9.989738464355469e-05,0.35113686323165894,0.12500765919685364,-2.002716064453125e-05,0.35056743025779724
0,Feedforward,Neural Network,FFW,5,0.0111,0.1053,-0.0002,41.461,Longitude,0.17144779860973358,-9.107589721679688e-05,0.41135457158088684,0.17143380641937256,-6.258487701416016e-05,0.4113868474960327
0,Feedforward,Neural Network,FFW,6,0.0121,0.1101,-0.0001,25.6185,Latitude,0.12550348043441772,-0.0001302957534790039,0.35114219784736633,0.12492087483406067,-4.76837158203125e-07,0.35056400299072266
0,Feedforward,Neural Network,FFW,6,0.0111,0.1053,-0.0,41.0721,Longitude,0.1714191436767578,-0.00013446807861328125,0.4113631248474121,0.17157796025276184,-0.0003542900085449219,0.41144686937332153
0,Feedforward,Neural Network,FFW,7,0.0121,0.1101,-0.0002,40.8123,Latitude,0.12557685375213623,-0.000133514404296875,0.3511429727077484,0.12524916231632233,-8.821487426757812e-06,0.35056546330451965
0,Feedforward,Neural Network,FFW,7,0.0111,0.1053,-0.0001,20.6786,Longitude,0.17151467502117157,-0.00011658668518066406,0.41135886311531067,0.1717132329940796,-4.601478576660156e-05,0.4113834500312805
0,Feedforward,Neural Network,FFW,8,0.0121,0.1101,-0.0,45.9164,Latitude,0.1256323605775833,-0.00010657310485839844,0.351138174533844,0.1252194344997406,-3.0994415283203125e-05,0.35056933760643005
0,Feedforward,Neural Network,FFW,8,0.0111,0.1053,-0.0003,41.0208,Longitude,0.1715814769268036,-6.270408630371094e-05,0.4113484025001526,0.1716565042734146,-9.298324584960938e-06,0.41137591004371643
0,Feedforward,Neural Network,FFW,9,0.0121,0.1101,-0.0001,40.8601,Latitude,0.1255972534418106,-0.00015079975128173828,0.35114580392837524,0.12530219554901123,-0.0002567768096923828,0.3506089150905609
0,Feedforward,Neural Network,FFW,9,0.0111,0.1053,-0.0,25.8202,Longitude,0.17151367664337158,-0.00010502338409423828,0.411356657743454,0.17152754962444305,-4.839897155761719e-05,0.4113839566707611
0,Feedforward,Neural Network,FFW,10,0.0121,0.1101,-0.0,36.3364,Latitude,0.12564921379089355,-0.00013458728790283203,0.3511430621147156,0.12535275518894196,-0.0003123283386230469,0.3506186604499817
0,Feedforward,Neural Network,FFW,10,0.0111,0.1053,-0.0,20.9127,Longitude,0.17175860702991486,-0.00013899803161621094,0.41136419773101807,0.17176713049411774,-3.0994415283203125e-06,0.41137462854385376
0,Feedforward,Neural Network,FFW,11,0.0121,0.1101,-0.0001,20.7993,Latitude,0.1257343739271164,-0.00010287761688232422,0.3511371314525604,0.12513597309589386,-5.9604644775390625e-05,0.3505743443965912
0,Feedforward,Neural Network,FFW,11,0.0111,0.1053,-0.0002,20.875,Longitude,0.17166757583618164,-0.00012362003326416016,0.41136080026626587,0.17172884941101074,-1.430511474609375e-06,0.4113743007183075
0,Feedforward,Neural Network,FFW,12,0.0121,0.1101,-0.0,20.7772,Latitude,0.12566161155700684,-0.00013256072998046875,0.35114264488220215,0.12524214386940002,-0.00026869773864746094,0.35061100125312805
0,Feedforward,Neural Network,FFW,12,0.0111,0.1053,-0.0001,20.8463,Longitude,0.1715720295906067,-0.00010824203491210938,0.41135790944099426,0.17178238928318024,-0.00016117095947265625,0.41140711307525635
0,Feedforward,Neural Network,FFW,13,0.0121,0.1101,-0.0,36.1305,Latitude,0.12558314204216003,-0.00014102458953857422,0.3511442542076111,0.12521935999393463,-0.0002758502960205078,0.35061225295066833
0,Feedforward,Neural Network,FFW,13,0.0111,0.1053,-0.0,31.074,Longitude,0.17155225574970245,-0.0001125335693359375,0.41135910153388977,0.17174126207828522,-3.170967102050781e-05,0.41138049960136414
0,Feedforward,Neural Network,FFW,14,0.0121,0.1101,-0.0,20.593,Latitude,0.1256546527147293,-4.601478576660156e-05,0.35112717747688293,0.12525412440299988,-3.2782554626464844e-05,0.3505696654319763
0,Feedforward,Neural Network,FFW,14,0.0111,0.1053,-0.0,20.7257,Longitude,0.17161518335342407,-8.404254913330078e-05,0.41135257482528687,0.17184586822986603,-2.1696090698242188e-05,0.4113784432411194
0,Feedforward,Neural Network,FFW,15,0.0121,0.1101,-0.0007,20.9068,Latitude,0.1256757527589798,-0.00011861324310302734,0.3511402904987335,0.12537868320941925,-5.3763389587402344e-05,0.35057333111763
0,Feedforward,Neural Network,FFW,15,0.0111,0.1053,-0.0,20.8735,Longitude,0.1714896708726883,-0.0001201629638671875,0.4113599359989166,0.17135007679462433,-3.0994415283203125e-06,0.41137462854385376
0,Feedforward,Neural Network,FFW,16,0.0121,0.1101,-0.0002,20.8766,Latitude,0.12554793059825897,-0.0001366138458251953,0.3511431813240051,0.12527184188365936,-2.9802322387695312e-06,0.35056445002555847
0,Feedforward,Neural Network,FFW,16,0.0111,0.1053,-0.0002,36.662,Longitude,0.171573668718338,-0.00010311603546142578,0.4113566279411316,0.1717694103717804,-0.0004899501800537109,0.41147473454475403
0,Feedforward,Neural Network,FFW,17,0.0121,0.1101,-0.0,26.1025,Latitude,0.1257871836423874,-0.00012159347534179688,0.3511408269405365,0.12536324560642242,-2.5987625122070312e-05,0.3505684733390808
0,Feedforward,Neural Network,FFW,17,0.0111,0.1053,-0.0005,26.0801,Longitude,0.17157980799674988,-9.548664093017578e-05,0.41135501861572266,0.1714860051870346,-2.658367156982422e-05,0.41137945652008057
0,Feedforward,Neural Network,FFW,18,0.0121,0.1101,-0.0,20.7284,Latitude,0.12571895122528076,-0.00016105175018310547,0.35114753246307373,0.1252536177635193,-5.1021575927734375e-05,0.3505728542804718
0,Feedforward,Neural Network,FFW,18,0.0111,0.1053,-0.0002,20.747,Longitude,0.17156332731246948,-0.00010800361633300781,0.41135793924331665,0.17153680324554443,-5.6743621826171875e-05,0.4113856554031372
0,Feedforward,Neural Network,FFW,19,0.0121,0.1101,-0.0,35.8765,Latitude,0.12566597759723663,-0.00014793872833251953,0.3511454463005066,0.12521378695964813,-0.0003446340560913086,0.35062429308891296
